,HH_ID,HHNbr,MWrkHrs,MEdu,FWrkHrs,FEdu,FBirth,F_Rel,MBirth,YogExp,DinExp,ResType_2,ResType_3,ResType_4,ResType_5,ResType_6,ResStatus_2,ResStatus_3,HHInc_2,HHInc_3,HHInc_4,HHInc_5,HHInc_6,HHInc_7,HHInc_8,HHInc_9,HHInc_10,HHInc_11,HHInc_12,HHInc_13,HHInc_14,M_Rel_2,Cable_1,Cats_1,Dogs_1,FAge,MAge
0,1100032,2,40,8,40,9,1938,1,1935,3.07,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,51,54
1,1100107,3,0,0,40,7,1942,1,0,0.0,90.7,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,47,1989
2,1100131,4,40,9,40,8,1949,1,1949,330.12,669.18,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,40,40
3,1100172,1,0,0,0,9,1921,1,0,1.78,0.0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,68,1989
4,1100180,4,40,9,38,8,1946,1,1937,23.44,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,43,52
5,1100198,1,0,0,0,5,1903,1,0,0.0,0.0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,86,1989
6,1100255,1,0,0,0,3,1921,1,0,1.18,2.56,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,68,1989
7,1100289,2,0,9,0,5,1916,1,1910,69.3299999999999,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,73,79
8,1100297,2,20,5,12,5,1925,1,1922,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,64,67
9,1100313,3,0,0,40,8,1951,1,0,15.81,0.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,38,1989
10,1100339,5,40,10,0,11,1950,1,1947,108.07,0.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,39,42
11,1100347,2,0,5,22,5,1927,1,1919,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,62,70
12,1100354,2,20,2,40,2,1928,1,1918,9.51,22.95,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,61,71
13,1100404,1,0,0,36,6,1952,1,0,81.31,0.0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,37,1989
14,1100453,1,60,9,0,0,0,0,1956,0.0,0.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1989,33
15,1100487,5,40,7,42,5,1953,1,1950,6.09,0.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,36,39
16,1100578,2,0,5,0,5,1918,1,1916,6.95,0.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,71,73
17,1100586,2,0,5,0,5,1927,1,1923,35.96,71.88,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,62,66
18,1100602,3,60,9,45,8,1948,1,1943,21.26,85.4,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,41,46
19,1100628,4,0,0,43,9,1948,1,0,61.26,75.06,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,41,1989
20,1100644,2,0,3,35,5,1925,1,1925,3.88,0.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,64,64
21,1100651,5,40,5,0,6,1945,1,1950,0.0,0.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,44,39
22,1100677,2,45,8,40,5,1935,1,1932,18.97,0.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,54,57
23,1100701,5,50,11,20,10,1943,1,1937,39.56,0.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,46,52
24,1100719,2,40,10,40,10,1947,1,1946,1.01,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,42,43
25,1100735,2,44,5,21,5,1942,1,1942,16.18,0.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,47,47
26,1100743,2,0,5,0,2,1904,1,1906,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,85,83
27,1100750,1,0,0,0,6,1910,1,0,1.74,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,79,1989
28,1100792,3,0,0,40,8,1958,1,0,182.64,767.520000000002,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,31,1989
29,1100818,4,50,10,8,10,1953,1,1949,47.72,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,36,40
30,1100859,2,30,8,35,3,1930,1,1924,0.0,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,59,65
31,1100867,1,0,0,0,3,1906,1,0,0.0,0.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,83,1989
32,1100875,4,40,6,25,8,1953,1,1944,28.03,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,36,45
33,1100883,1,0,0,0,5,1918,1,0,11.66,0.0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,71,1989
34,1100891,1,0,7,0,0,0,0,1957,0.0,0.0,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,1989,32
35,1100966,3,60,7,9,4,1944,1,1940,238.76,424.56,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,45,49
36,1101014,4,50,7,40,7,1943,1,1943,3.06,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,46,46
37,1101022,2,20,9,35,5,1932,1,1929,16.48,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,57,60
38,1101048,5,30,5,40,7,1962,1,1961,18.78,0.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,27,28
39,1101063,2,30,5,0,5,1915,1,1913,0.0,0.0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,74,76
40,1101097,2,21,4,20,9,1928,1,1919,3.84,0.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,61,70
41,1101162,1,0,0,0,5,1930,1,0,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,59,1989
42,1101204,3,45,5,28,5,1954,1,1939,49.0499999999999,159.12,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,35,50
43,1101220,1,0,0,40,5,1937,1,0,24.56,0.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,52,1989
44,1101261,3,50,9,40,11,1949,1,1949,19.29,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,40,40
45,1101311,1,0,0,45,7,1932,1,0,0.99,0.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,57,1989
46,1101329,5,40,9,36,9,1955,1,1952,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,34,37
47,1101378,6,40,8,40,5,1954,1,1953,21.6,0.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,35,36
48,1101402,4,60,8,8,8,1928,1,1929,3.36,0.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,61,60
49,1101410,1,0,0,40,9,1949,1,0,0.43,1.46,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,40,1989
50,1101428,4,40,7,40,6,1946,1,1941,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,43,48
51,1101444,1,0,0,40,7,1934,1,0,3.17,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,55,1989
52,1101485,5,50,9,20,9,1941,1,1941,29.22,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,48,48
53,1101519,2,0,0,45,7,1960,1,0,23.38,50.31,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,29,1989
54,1101543,5,50,8,41,9,1954,1,1956,4.96,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,35,33
55,1101568,3,50,10,25,9,1947,1,1948,17.29,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,42,41
56,1101618,1,0,0,0,8,1922,1,0,55.91,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,67,1989
57,1101675,4,40,4,36,5,1952,1,1950,10.89,0.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,37,39
58,1101683,2,40,7,40,2,1962,1,1963,26.56,122.4,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,27,26
59,1101717,2,45,8,35,5,1942,1,1939,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,47,50
60,1101758,1,0,0,20,5,1914,1,0,17.49,0.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,75,1989
61,1101782,3,60,8,40,8,1928,1,1929,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,61,60
62,1101790,4,44,7,40,8,1956,1,1954,578.370000000002,1396.19999999999,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,33,35
63,1101824,2,0,3,0,5,1923,1,1924,14.09,0.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,66,65
64,1101832,2,40,5,40,4,1930,1,1931,16.62,0.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,59,58
65,1101865,3,30,3,40,7,1950,1,1937,84.9599999999999,132.96,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,39,52
66,1101899,2,0,9,0,5,1913,1,1910,1.83,4.01,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,76,79
67,1101949,5,40,9,0,5,1946,1,1943,1.3,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,43,46
68,1101980,2,0,0,0,4,1925,1,0,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,64,1989
69,1101998,3,0,0,44,4,1954,1,0,0.0,0.0,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,35,1989
70,1102046,5,40,8,40,8,1956,1,1956,8.86,0.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,33,33
71,1102053,2,40,4,35,5,1935,1,1929,11.39,0.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,54,60
72,1102079,2,40,7,20,4,1926,1,1922,6.04,18.32,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,63,67
73,1102129,2,40,3,30,3,1933,1,1928,139.56,331.2,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,56,61
74,1102152,4,60,9,40,11,1954,1,1953,27.63,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,35,36
75,1102186,1,15,5,0,0,0,0,1922,4.24,0.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,1989,67
76,1102236,3,50,5,22,5,1944,1,1940,0.69,0.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,45,49
77,1102244,2,0,8,0,9,1909,1,1910,2.26,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,80,79
78,1102293,1,0,0,40,6,1931,1,0,161.13,0.0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,58,1989
79,1102301,2,60,9,0,7,1951,1,1945,11.11,0.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,38,44
80,1102327,4,66,8,40,5,1946,1,1944,28.76,24.25,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,43,45
81,1102392,1,0,0,40,4,1916,1,0,15.59,0.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,73,1989
82,1102418,2,0,0,0,3,1920,1,0,1.49,0.0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,69,1989
83,1102426,3,50,5,25,5,1941,1,1939,24.36,33.66,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,48,50
84,1102459,2,45,5,40,8,1929,1,1927,10.63,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,60,62
85,1102483,2,0,5,40,8,1932,1,1930,5.9,0.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,57,59
86,1102491,7,80,11,0,10,1949,1,1945,35.16,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,40,44
87,1102533,1,0,0,15,7,1913,1,0,3.59,0.0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,76,1989
88,1102541,2,40,9,0,9,1923,1,1923,1.41,0.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,66,66
